set,window_index,true_label,predicted_label
train,0,0,2
train,2,0,2
train,7,0,2
train,10,2,2
train,1,0,0
train,4,0,0
train,5,0,0
train,9,1,0
train,6,0,0
train,13,2,0
train,3,0,0
train,12,2,0
train,8,1,0
train,7,0,0
train,1,0,0
train,12,2,0
train,10,2,0
train,0,0,0
train,3,0,0
train,2,0,0
train,5,0,0
train,9,1,0
train,6,0,0
train,13,2,0
train,13,2,2
train,11,2,0
train,10,2,0
train,4,0,0
train,3,0,2
train,9,1,2
train,6,0,2
train,7,0,2
train,2,0,2
train,1,0,2
train,8,1,2
train,5,0,2
train,8,1,0
train,12,2,0
train,11,2,2
train,13,2,0
train,3,0,0
train,5,0,0
train,9,1,0
train,2,0,2
train,4,0,0
train,1,0,0
train,7,0,0
train,10,2,0
train,1,0,0
train,4,0,0
train,6,0,0
train,13,2,0
train,9,1,1
train,12,2,0
train,8,1,0
train,7,0,0
train,3,0,0
train,11,2,0
train,2,0,1
train,10,2,1
train,8,1,1
train,6,0,1
train,7,0,0
train,10,2,2
train,5,0,2
train,11,2,0
train,4,0,0
train,3,0,0
train,1,0,0
train,9,1,1
train,13,2,0
train,0,0,0
train,11,2,0
train,13,2,2
train,1,0,2
train,8,1,2
train,10,2,2
train,3,0,2
train,5,0,2
train,6,0,2
train,2,0,2
train,9,1,1
train,0,0,0
train,12,2,0
train,13,2,0
train,3,0,0
train,2,0,2
train,6,0,2
train,5,0,0
train,0,0,0
train,4,0,0
train,11,2,0
train,12,2,0
train,10,2,2
train,8,1,0
train,9,1,0
train,8,1,0
train,0,0,0
train,3,0,0
train,13,2,0
train,6,0,0
train,5,0,2
train,2,0,0
train,12,2,0
train,10,2,0
train,1,0,2
train,7,0,2
train,4,0,0
train,3,0,2
train,13,2,0
train,2,0,0
train,4,0,0
train,8,1,2
train,6,0,2
train,12,2,2
train,9,1,1
train,11,2,2
train,1,0,0
train,0,0,0
train,10,2,0
train,9,1,1
train,4,0,0
train,5,0,1
train,1,0,0
train,11,2,0
train,0,0,0
train,3,0,2
train,7,0,1
train,10,2,0
train,8,1,2
train,2,0,0
train,6,0,0
train,0,0,0
train,10,2,0
train,11,2,0
train,3,0,0
train,1,0,1
train,7,0,2
train,4,0,0
train,8,1,0
train,13,2,2
train,12,2,2
train,6,0,2
train,5,0,2
train,4,0,0
train,1,0,0
train,0,0,0
train,10,2,2
train,3,0,0
train,12,2,0
train,6,0,0
train,5,0,2
train,8,1,0
train,2,0,0
train,13,2,0
train,9,1,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,0
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,0
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,0
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,1
test,0,2,1
test,1,2,1
test,2,2,1
test,3,2,1
test,0,2,2
test,1,2,2
test,2,2,2
test,3,2,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,0
test,0,2,2
test,1,2,2
test,2,2,2
test,3,2,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,1
test,0,2,0
test,1,2,0
test,2,2,0
test,3,2,1
