Kid_ID,Action_3_turn,Action_4_pull,Action_6_throw,Action_8_flip,Action_9_hit,Action_10_offer,Action_11_stack,Action_12_hit,Action_13_bring close,Action_16_Action_16,Action_18_Action_18,Action_21_Action_21,Action_27_Action_27,Action_32_Action_32,Action_36_Action_36,Action_41_Action_41,Total_Windows
3002,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25
3003,19,50,9,50,0,50,0,2,0,4,0,50,11,0,50,14,309
3005,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3006,3,0,0,0,0,0,3,0,1,0,14,0,0,0,0,46,67
3007,0,0,0,0,0,50,18,11,3,0,0,0,0,26,0,24,132
3008,0,0,0,0,0,50,0,11,0,17,0,35,0,0,0,10,123
3009,1,3,50,0,4,50,43,0,0,0,0,0,0,50,0,0,201
3010,12,1,7,50,50,50,13,0,1,0,0,0,4,2,0,0,190
3011,50,50,0,50,0,50,25,13,20,30,50,50,0,0,5,50,443
3013,12,3,0,50,0,50,0,0,0,0,0,3,0,0,0,7,125
3017,0,0,3,0,0,46,0,1,0,0,0,18,0,0,0,0,68
3018,50,0,0,8,0,0,0,0,8,0,0,0,0,0,50,50,166
3019,3,0,0,28,0,28,0,2,1,0,0,3,0,0,0,0,65
3020,50,0,0,32,0,31,0,0,0,0,0,0,0,0,0,0,113
3022,5,30,1,38,0,50,0,4,0,1,24,0,0,0,0,0,153
3023,39,0,0,2,0,0,4,0,0,0,0,0,0,0,0,50,95
3024,15,1,0,0,11,50,0,0,0,0,1,1,0,0,0,0,79
TOTAL,261,138,70,308,65,580,106,44,34,52,89,160,15,78,105,251,2356
